show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,random_column,added_year,added_month,duration_clean
s7433,Movie,Meditation Park,Mina Shum,Canada,2018-03-09,2017,TV-PG,94 min,Dramas,13,2018.0,3.0,94
s7434,Movie,Medium,Jacek Koprowicz,Poland,2019-10-01,1985,TV-MA,90 min,"Horror Movies, International Movies, Thrillers",64,2019.0,10.0,90
s7435,Movie,Meet the Trumps: From Immigrant to President,"Paul Berczeller, Mark Radice",United Kingdom,2017-10-25,2017,TV-14,48 min,Documentaries,38,2017.0,10.0,48
s7438,Movie,Melle,Binu Ulahhannan,India,2018-08-01,2017,TV-PG,110 min,"Dramas, International Movies, Romantic Movies",22,2018.0,8.0,110
s7440,Movie,Melvin Goes to Dinner,Bob Odenkirk,United States,2018-07-01,2003,R,84 min,"Comedies, Dramas, Independent Movies",29,2018.0,7.0,84
s7441,Movie,Memoir of a Murderer,Shin-yeon Won,South Korea,2018-02-19,2017,TV-MA,118 min,"Dramas, International Movies, Thrillers",63,2018.0,2.0,118
s7442,Movie,Memory Games,"Janet Tobias, Claus Wehlisch",Germany,2019-06-19,2018,TV-14,86 min,Documentaries,71,2019.0,6.0,86
s7443,Movie,Men in Black,Barry Sonnenfeld,United States,2019-10-19,1997,PG-13,98 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",63,2019.0,10.0,98
s7444,Movie,Men in Black II,Unknown,Unknown,2019-10-01,2002,PG-13,88 min,"Action & Adventure, Comedies, Sci-Fi & Fantasy",33,2019.0,10.0,88
s7445,Movie,Menorca,John Barnard,Canada,2017-08-27,2016,TV-MA,81 min,"Dramas, Independent Movies",17,2017.0,8.0,81
s7446,Movie,Merantau,Gareth Evans,Indonesia,2019-02-13,2009,R,112 min,"Action & Adventure, Dramas, International Movies",58,2019.0,2.0,112
s7449,Movie,Merry Men: The Real Yoruba Demons,Toka McBaror,Nigeria,2019-09-21,2018,TV-MA,106 min,"Comedies, International Movies",93,2019.0,9.0,106
s7451,Movie,Mi Shivajiraje Bhosale Boltoy,Santosh Manjrekar,India,2018-01-01,2009,TV-14,148 min,"Comedies, International Movies, Sci-Fi & Fantasy",55,2018.0,1.0,148
s7452,Movie,MI-5,Bharat Nalluri,United Kingdom,2019-08-01,2015,R,105 min,"Action & Adventure, Dramas, International Movies",8,2019.0,8.0,105
s7453,TV Show,Middle School: The Worst Years of My Life,Steve Carr,United States,,2016,PG,92 min,"Children & Family Movies, Comedies",63,,,92
s7455,Movie,Midnight Special,Jeff Nichols,United States,2020-09-07,2016,PG-13,112 min,"Action & Adventure, Sci-Fi & Fantasy",81,2020.0,9.0,112
